Type,Location,Bedrooms,Bathrooms,Floors,Lot Area,Usable Area,Price
House,Luzon,7,7,2,450,700,150000000
House,Luzon,5,5,3,157,380,18000000
House,Luzon,5,5,2,709,1000,160000000
House,Luzon,5,3,3,233,595,120000000
House,Luzon,3,3,2,157,300,15000000
House,Luzon,5,2,2,204,301,18000000
House,Luzon,5,5,3,576,850,110000000
House,Luzon,7,7,3,450,700,145000000
House,Luzon,4,4,2,719,1050,169000000
House,Luzon,5,6,3,293,545,110000000
House,Luzon,4,4,4,300,500,60000000
House,Luzon,5,6,3,201,485,91000000
House,Luzon,5,6,2,188,482,94000000
House,Luzon,5,8,2,530,350,75000000
House,Luzon,5,5,2,517,600,85000000
House,Luzon,5,7,2,1800,1200,117000000
House,Luzon,4,4,2,395,450,34000000
House,Luzon,5,5,3,300,850,60000000
House,Luzon,5,6,3,200,450,112000000
House,Luzon,5,4,2,204,330,22000000
House,Luzon,5,4,3,63,160,15000000
House,Luzon,5,4,3,80,187,11500000
House,Luzon,7,7,2,729,800,29900000
House,Luzon,4,3,2,340,288,74500000
House,Luzon,3,3,1,240,150,13800000
House,Luzon,5,7,2,530,350,75000000
House,Luzon,4,2,2,150,100,9400000
House,Luzon,4,4,2,300,400,35000000
House,Luzon,8,9,2,1210,940,135000000
House,Luzon,4,8,2,525,507,119000000
House,Luzon,3,3,2,200,159,12500000
House,Luzon,3,4,4,74,163,14995000
House,Luzon,2,2,1,150,115,10500000
House,Luzon,4,4,2,716,800,178000000
House,Luzon,3,3,1,263,220,15000000
House,Luzon,5,6,2,420,500,42000000
House,Luzon,4,4,2,321,400,25000000
House,Luzon,7,7,3,453,700,145000000
House,Luzon,5,6,3,188,482,98000000
House,Luzon,6,6,2,810,700,70000000
House,Luzon,4,4,2,228,300,14000000
House,Luzon,4,5,2,255,241,24500000
House,Luzon,7,5,2,555,715,61000000
House,Luzon,4,3,1,284,179,14800080
House,Luzon,4,3,3,106,240,18000000
House,Luzon,4,4,2,600,600,60000000
House,Luzon,4,4,2,720,550,95000000
House,Luzon,6,9,2,480,650,48000000
House,Luzon,4,3,2,120,190,10500000
House,Luzon,4,5,3,280,360,41800000
House,Luzon,5,5,2,280,325,36000000
House,Luzon,3,3,2,224,320,26000000
House,Luzon,4,4,2,260,320,22000000
House,Luzon,5,5,2,316,500,58000000
House,Luzon,4,3,2,210,320,18000000
House,Luzon,4,3,2,300,200,25000000
House,Luzon,3,3,1,322,280,12000000
House,Luzon,3,3,2,224,320,26000000
House,Luzon,4,4,2,260,320,22000000
House,Luzon,5,5,2,316,500,58000000
House,Luzon,4,3,2,210,320,18000000
House,Luzon,4,3,2,300,200,25000000
House,Luzon,3,3,1,322,280,12000000
House,Luzon,4,3,3,340,350,25000000
House,Visayas,4,4,2,371,380,27000000
House,Visayas,4,4,3,331,450,33000000
House,Visayas,4,4,2,450,729,46000000
House,Visayas,4,4,2,266,450,35000000
House,Visayas,3,3,2,333,600,60000000
House,Visayas,3,2,2,138,149,15882000
House,Visayas,4,2,1,159,122,13919000
House,Visayas,5,3,2,438,450,35000000
House,Visayas,3,3,2,156,220,16500000
House,Visayas,5,5,2,200,328,17500000
House,Visayas,4,4,2,311,450,33000000
House,Visayas,3,3,2,140,200,18000000
House,Visayas,4,2,2,120,82,4933374
House,Visayas,4,3,2,200,204,17200000
House,Visayas,5,5,3,1200,617,90000000
House,Visayas,7,6,2,392,544.01,51000000
House,Visayas,3,3,2,166.5,217,14000000
House,Visayas,3,3,2,113,150,14755000
House,Visayas,6,5,2,551,482,30000000
House,Visayas,4,3,2,120,176,9800000
House,Visayas,4,4,2,371,380,24500000
House,Visayas,4,3,2,200,182,16850000
House,Visayas,5,7,2,258,280,18000000
House,Visayas,5,5,4,140,520,36000000
House,Visayas,6,6,3,160,422,38400000
House,Visayas,4,4,2,450,729,46000000
House,Visayas,4,4,2,371,380,24500000
House,Visayas,4,4,1,300,140,8000000
House,Visayas,5,6,3,370.1,562.6,48000000
House,Visayas,6,6,4,238,800,45000000
House,Visayas,4,4,2,370,600,32000000
House,Visayas,4,4,2,371,380,24500000
House,Visayas,4,4,2,266,450,35000000
House,Visayas,2,2,2,340,368,25000000
House,Visayas,2,2,1,335,331,20000000
House,Visayas,5,5,4,194,162,8634816
House,Visayas,6,6,5,160,422,38400000
House,Visayas,4,5,2,727,500,70000000
House,Visayas,3,3,2,207,160,9000000
House,Visayas,4,5,2,721,609,85000000
House,Visayas,2,2,1,320,316,26000000
House,Visayas,3,3,1,450,433,40000000
House,Visayas,4,3,2,121,123,8200000
House,Visayas,4,3,2,109,136,7059800
House,Visayas,2,2,2,70,60,4776328
House,Visayas,4,4,2,301,285,35000000
House,Visayas,4,3,2,120,89.73,8232098
House,Visayas,2,2,2,71,61,2300000
House,Visayas,4,2,2,70,103,10000000
House,Visayas,2,2,2,70,60,4776328
House,Visayas,4,3,2,120,188,17000000
House,Visayas,3,3,2,49,79,5500000
House,Visayas,3,3,2,170.09,254.55,14000000
House,Visayas,5,5,2,510,432,30000000
House,Visayas,4,3,2,172,242,13500000
House,Visayas,4,2,2,99,83,5744000
House,Mindanao,5,4,2,174,300,16900000
House,Mindanao,7,4,4,370,306,25000000
House,Mindanao,1,1,1,28,120,1200000
House,Mindanao,4,3,2,180,135,12472000
House,Mindanao,1,1,1,36,22,530000
House,Mindanao,4,3,2,316,163,17230000
House,Mindanao,3,2,2,180,88,9500000
House,Mindanao,3,2,2,114,180,13000000
House,Mindanao,5,4,2,174,300,16900000
House,Mindanao,4,3,2,180,146,11230000
House,Mindanao,5,3,2,212,142,10660440
House,Mindanao,5,3,2,174,142,9848193
House,Mindanao,4,2,1,150,92,5712040
House,Mindanao,5,3,2,121,142,8410190
House,Mindanao,4,3,2,150,120,8300000
House,Mindanao,4,3,2,120,119,7500000
House,Mindanao,4,4,3,140,180,9000000
House,Mindanao,3,2,2,110,65,5200000
House,Mindanao,2,1,2,135,40,5224035
House,Mindanao,3,2,2,131,180,6950000
House,Mindanao,3,2,1,180,74,7616000
House,Mindanao,3,2,1,74,180,7600000
House,Mindanao,6,5,2,600,300,20000000
House,Mindanao,4,3,2,150,93,7168599
House,Mindanao,4,2,1,153,100,2800000
House,Mindanao,4,3,2,180,163,12472000
House,Mindanao,4,3,2,264,135,13000000
House,Mindanao,4,3,2,180,163,12472000
House,Mindanao,7,5,4,397,400,38000000
House,Mindanao,4,3,2,250,260,11000000
House,Mindanao,3,2,1,192,170,7900000
House,Mindanao,4,3,3,300,156,18980000
House,Mindanao,5,3,2,110,100,7027077
House,Mindanao,3,2,1,183,60,6200000
House,Mindanao,5,3,2,143,166,9806059
House,Mindanao,3,3,2,295,270,10000000
House,Mindanao,4,3,2,180,180,10824000
House,Mindanao,4,5,2,200,250,16800000
House,Mindanao,3,3,2,150,192,14000000
House,Mindanao,5,4,1,233,200,13500000
House,Mindanao,5,4,1,200,600,20000000
House,Mindanao,5,3,2,224,380,14000000
House,Mindanao,3,2,1,64,120,6900000
House,Mindanao,3,2,1,180,72,7503000
House,Mindanao,4,4,2,257,240,15000000
