Type,Location,Bedrooms,Bathrooms,Floor,Floors Area,Lot Area,Garage,Garden,Pet Friendly,Reservation Fee,Price
House and Lot,Las Pinas City,2,1,2,67,55,1,yes,yes,0,3900001
House and Lot,Las Pinas City,3,2,2,78,58,1,yes,yes,30000,4987000
House and Lot,Quezon City,3,2,2,65,60,1,yes,yes,50000,4200000
Townhouse,Las Pinas City,3,2,2,70,52,1,yes,yes,30000,4480000
House and Lot,Quezon City,3,2,2,65,48,1,yes,yes,50000,3800000
House and Lot,Las Pinas City,2,2,2,49,66,1,no,yes,20000,4228000
House and Lot,Las Pinas City,2,1,2,67,52,1,yes,no,0,4000001
Townhouse,Las Pinas City,2,1,2,67,52,1,yes,no,0,4000001
House and Lot,Pasig City,3,2,2,62,60,1,yes,yes,30000,4900000
Townhouse,Las Pinas City,2,2,2,46,39,1,no,no,20000,3340000
House and Lot,Las Pinas City,3,2,2,99,67,1,no,yes,30000,4991000
House and Lot,Muntinlupa City,2,2,2,52,60,1,yes,yes,0,3900000
Townhouse,Las Pinas City,3,3,2,70,40,1,yes,no,20000,4500000
House and Lot,Las Pinas City,2,1,2,67,54,1,yes,no,30000,4200001
House and Lot,Las Pinas City,2,1,2,67,55,1,yes,no,0,3900001
Townhouse,Marikina City,3,2,2,87,51,1,yes,yes,30000,4850000
Townhouse,Las Pinas City,2,1,2,67,54,1,yes,yes,20000,4200000
Townhouse,Paranaque City,2,2,2,94,54,1,yes,yes,0,4900000
House and Lot,Las Pinas City,1,1,2,67,52,1,yes,no,0,4000001
House and Lot,Pasig City,3,2,2,62,60,1,yes,yes,30000,4900000
House and Lot,Quezon City,3,2,2,69,50,1,no,no,0,4230000
House and Lot,Las Pinas City,2,1,2,67,36,1,no,yes,0,3200000
House and Lot,Caloocan City,3,2,2,79,74,1,no,yes,20000,4600000
House and Lot,Quezon City,3,2,2,70,82,1,yes,yes,50000,4700000
House and Lot,Las Pinas City,2,2,1,46,64,1,yes,yes,20000,4065000
House and Lot,Las Pinas City,2,2,1,54,50,1,yes,yes,20000,3779000
House and Lot,Paranaque City,3,2,2,115,48,1,yes,yes,0,5000000
Townhouse,Las Pinas City,2,2,1,55,54,1,yes,no,20000,3858000
House and Lot,Paranaque City,3,2,2,80,40,1,yes,yes,0,3500000
